id,districtCode,provinceCode,nameTh,nameEn
1901,1901,10,เมืองสระบุรี,Mueang Saraburi
1902,1902,10,แก่งคอย,Kaeng Khoi
1903,1903,10,หนองแค,Nong Khae
1904,1904,10,วิหารแดง,Wihan Daeng
1905,1905,10,หนองแซง,Nong Saeng
1906,1906,10,บ้านหมอ,Ban Mo
1907,1907,10,ดอนพุด,Don Phut
1908,1908,10,หนองโดน,Nong Don
1909,1909,10,พระพุทธบาท,Phra Phutthabat
1910,1910,10,เสาไห้,Sao Hai
1911,1911,10,มวกเหล็ก,Muak Lek
1912,1912,10,วังม่วง,Wang Muang
1913,1913,10,เฉลิมพระเกียรติ,Chaloem Phra Kiat
2001,2001,11,เมืองชลบุรี,Mueang Chon Buri
2002,2002,11,บ้านบึง,Ban Bueng
2003,2003,11,หนองใหญ่,Nong Yai
2004,2004,11,บางละมุง,Bang Lamung
2005,2005,11,พานทอง,Phan Thong
2006,2006,11,พนัสนิคม,Phanat Nikhom
2007,2007,11,ศรีราชา,Si Racha
2008,2008,11,เกาะสีชัง,Ko Sichang
2009,2009,11,สัตหีบ,Sattahip
2010,2010,11,บ่อทอง,Bo Thong
2011,2011,11,เกาะจันทร์,Ko Chan
2101,2101,12,เมืองระยอง,Mueang Rayong
2102,2102,12,บ้านฉาง,Ban Chang
2103,2103,12,แกลง,Klaeng
2104,2104,12,วังจันทร์,Wang Chan
2105,2105,12,บ้านค่าย,Ban Khai
2106,2106,12,ปลวกแดง,Pluak Daeng
2107,2107,12,เขาชะเมา,Khao Chamao
2108,2108,12,นิคมพัฒนา,Nikhom Phatthana
2201,2201,13,เมืองจันทบุรี,Mueang Chanthaburi
2202,2202,13,ขลุง,Khlung
2203,2203,13,ท่าใหม่,Tha Mai
2204,2204,13,โป่งน้ำร้อน,Pong Nam Ron
2205,2205,13,มะขาม,Makham
2206,2206,13,แหลมสิงห์,Laem Sing
2207,2207,13,สอยดาว,Soi Dao
2208,2208,13,แก่งหางแมว,Kaeng Hang Maeo
2209,2209,13,นายายอาม,Na Yai Am
